식품코드,식품대분류,식품상세분류,1회제공량(g),에너지(㎉),수분(g),단백질(g),지방(g),탄수화물(g),총당류(g),자당(g),포도당(g),과당(g),유당(g),맥아당(g),총 식이섬유(g),칼슘(㎎),철(㎎),마그네슘(㎎),인(㎎),칼륨(㎎),나트륨(㎎),아연(㎎),구리(㎎),망간(㎎),셀레늄(㎍),레티놀(㎍),베타카로틴(㎍),비타민 D3(㎍),토코페롤(㎎),토코트리에놀(㎎),비타민 B1(㎎),비타민 B2(㎎),나이아신(㎎),엽산(DFE)(㎍),비타민 B12(㎍),비타민 C(㎎),총 아미노산(㎎),이소류신(㎎),류신(㎎),라이신(㎎),메티오닌(㎎),페닐알라닌(㎎),트레오닌(㎎),발린(㎎),히스티딘(㎎),아르기닌(㎎),티로신(㎎),시스테인(㎎),알라닌(㎎),아스파르트산(㎎),글루탐산(㎎),글리신(㎎),프롤린(㎎),세린(㎎),콜레스테롤(㎎),총 포화 지방산(g),부티르산(4:0)(g),카프로산(6:0)(g),카프릴산(8:0)(g),카프르산(10:0)(g),라우르산(12:0)(g),미리스트산(14:0)(g),팔미트산(16:0)(g),스테아르산(18:0)(g),아라키드산(20:0)(g),미리스톨레산(14:1)(g),팔미톨레산(16:1)(g),올레산(18:1(n-9))(g),박센산(18:1(n-7))(g),가돌레산(20:1)(g),리놀레산(18:2(n-6)c)(g),알파 리놀렌산(18:3(n-3))(g),감마 리놀렌산(18:3(n-6))(g),에이코사디에노산(20:2(n-6))(g),에이코사트리에노산(20:3(n-6))(g),아라키돈산(20:4(n-6))(g),에이코사펜타에노산(20:5(n-3))(g),도코사펜타에노산(22:5(n-3))(g),도코사헥사에노산(22:6(n-3))(g),트랜스 지방산(g),트랜스 올레산(18:1(n-9)t)(g),트랜스 리놀레산 (18:2t)(g),트랜스 리놀레산(18:3t)(g),회분(g),성분표출처,발행기관
D000021,구이류,육류구이,150.0,480.81,71.8,27.1,35.3,13.7,6.8,5.6,0.0,0.4,0.0,0.7,1.4,31.21,-,26.29,174.75,283.01,548.76,8.26,0.11,0.07,47.92,8.95,9.12,-,1.04,0.06,0.0,0.1,0.26,9.3,0.0,0.0,-,1118.902,2238.707,2349.48,678.794,1156.538,1203.474,1341.199,764.158,1756.213,831.902,186.089,1720.233,2464.266,4416.566,1490.684,1142.006,1124.396,58.52,13.0,0.0,0.0,0.0,0.014,0.025,0.997,7.442,4.499,0.032,0.209,0.964,11.768,0.361,0.073,1.3,0.087,0.0,0.011,0.025,0.056,0.0,0.016,0.0,2.2,1.834,0.299,0.026,2.1,식약처('16) 제4권,식품의약품안전처
D000022,구이류,어패류구이,150.0,433.352,76.659,30.771,30.561,8.804,4.182,0.348,1.043,1.498,0.0,1.293,1.31,215.4,-,0.0,381.33,415.974,704.637,0.0,0.0,0.0,0.0,1444.074,188.594,-,0.0,0.0,0.463,0.676,7.234,0.0,0.0,0.186,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.239,7.105,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.1,0.0,0.0,1.7,8.7,0.8,0.5,0.9,0.2,0.0,0.1,0.1,0.1,0.8,0.6,0.6,0.269,0.1,0.1,0.1,3.205,식약처('12) 제1권,식품의약품안전처
D000023,구이류,어패류구이,250.0,494.0,156.2,53.8,29.4,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,267.44,-,112.24,754.08,959.35,1568.96,1.66,0.18,0.09,204.51,40.14,0.0,-,5.51,0.01,0.15,0.54,4.82,24.87,18.23,0.69,-,1945.96,3782.45,4305.99,1544.21,1961.67,2345.85,2247.74,1166.84,3589.85,1658.93,439.18,2796.82,4851.93,7333.59,2711.87,1843.28,2320.19,212.61,6.1,0.0,0.0,0.0,0.0,0.0,1.3,4.0,0.7,0.1,0.1,2.0,4.3,1.3,0.9,3.4,0.6,0.0,0.2,1.3,0.1,2.7,0.3,2.4,1.7,0.1,0.1,0.0,7.1,식약처('15) 제3권,식품의약품안전처
D000024,구이류,어패류구이,200.0,326.21,135.1,42.7,16.2,2.3,1.2,0.0,0.2,1.0,0.0,0.0,8.5,29.52,-,73.72,371.67,641.05,826.79,4.14,0.63,1.17,174.74,2202.95,0.0,-,2.2,0.0,0.0,0.8,0.0,83.67,0.0,1.6,-,1225.108,2498.246,2194.635,1118.045,1339.788,1589.093,1490.649,938.162,2506.78,1103.959,432.359,2094.399,2918.269,4570.437,3371.914,2222.712,1725.881,341.83,2.8,0.0,0.0,0.0,0.0,0.01,0.446,1.807,0.533,0.043,0.007,0.475,2.79,0.252,0.222,0.206,0.052,0.01,0.019,0.014,0.223,0.309,1.045,0.902,0.1,0.027,0.025,0.126,3.6,식약처('16) 제4권,식품의약품안전처
D000025,구이류,육류구이,200.0,457.697,118.817,26.959,29.646,20.761,5.334,1.209,1.375,2.112,0.0,0.638,5.669,82.506,-,48.81,365.082,553.919,950.22,2.97,0.24,0.48,0.0,14.45,90.945,-,2.64,0.12,0.616,0.257,5.973,0.0,0.0,2.769,-,1095.02,1963.67,2191.89,498.19,1119.89,1130.57,1237.97,862.34,1810.14,792.68,188.77,1555.98,2595.02,5216.18,1644.54,1403.2,1198.51,70.276,9.409,0.0,0.0,0.0,0.0,0.0,0.5,5.9,2.8,0.1,0.1,0.7,9.8,0.8,0.2,4.3,0.4,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.315,0.2,0.1,0.0,3.816,식약처('13) 제2권,식품의약품안전처
D000026,구이류,어패류구이,200.0,437.57,104.6,47.8,15.4,26.9,14.2,2.3,2.9,2.3,0.0,6.6,3.0,280.1,-,82.09,425.07,621.65,1135.33,1.81,0.19,0.38,144.87,1.64,911.78,-,10.46,0.06,0.06,0.18,0.04,19.3,3.68,0.0,-,1832.881,3519.913,3908.989,1228.526,1827.94,2082.353,2104.102,926.982,3091.452,1564.65,422.52,2640.933,4699.598,7617.883,2374.151,1589.968,2077.939,211.58,2.4,0.0,0.0,0.0,0.0,0.004,0.049,1.721,0.575,0.054,0.0,0.065,3.386,0.272,0.06,6.396,1.18,0.042,0.007,0.003,0.018,0.318,0.019,0.451,0.1,0.013,0.068,0.041,5.3,식약처('16) 제4권,식품의약품안전처
D000027,구이류,육류구이,250.0,797.14,126.473,43.058,64.066,12.078,0.27,0.015,0.0,0.255,0.0,0.0,1.359,38.49,-,41.16,623.67,496.431,1220.367,4.23,0.63,0.12,0.0,80.65,4.435,-,1.47,0.17,0.601,0.601,8.354,0.0,0.0,47.709,-,1737.68,3153.94,3431.98,1023.04,1673.48,1901.19,1918.49,1140.26,3073.46,1462.5,337.79,2592.34,3839.86,6798.75,2734.71,2077.17,1801.85,171.004,15.984,0.0,0.0,0.0,0.0,0.1,0.4,12.2,3.2,0.0,0.1,2.0,24.6,0.3,0.2,7.8,0.5,0.0,0.1,0.1,0.4,0.0,0.1,0.0,0.39,0.2,0.1,0.1,4.325,식약처('13) 제2권,식품의약품안전처
D000028,국 및 탕류,어패류국.탕,1100.0,415.25,994.8,44.9,12.1,31.7,10.8,1.3,5.0,4.1,0.0,0.3,24.4,1320.57,-,273.74,695.81,1581.61,4047.26,11.03,4.27,2.74,297.91,0.0,2392.78,-,13.07,0.0,0.0,0.62,0.0,166.89,0.0,0.0,-,1315.189,2379.064,2383.52,623.34,1469.422,1485.063,1606.492,835.381,2972.159,1216.176,375.436,2069.198,3415.945,6669.497,2102.213,1623.241,1465.577,388.15,2.0,0.0,0.0,0.0,0.0,0.016,0.187,1.329,0.403,0.041,0.0,0.57,1.285,0.345,0.11,0.733,1.028,0.0,0.031,0.027,0.18,0.636,0.183,0.852,0.2,0.029,0.0,0.127,16.5,식약처('16) 제4권,식품의약품안전처
D000029,국 및 탕류,어패류국.탕,1000.0,419.29,895.0,54.3,11.8,23.9,2.8,0.0,0.9,1.8,0.0,0.0,18.7,711.95,-,176.15,1028.2,1352.68,3802.06,4.15,0.69,0.93,195.6,1390.03,1563.55,-,9.06,0.0,0.51,0.51,1.04,79.56,0.0,1.96,-,1761.926,3509.532,3692.376,1231.971,1993.938,2283.757,2140.047,1044.854,3403.671,1805.146,548.616,2693.517,5019.766,10343.888,2854.089,1896.427,2484.989,476.47,1.4,0.0,0.0,0.0,0.0,0.0,0.103,1.034,0.226,0.0,0.0,0.465,1.698,0.447,0.148,0.601,0.097,0.021,0.027,0.0,0.248,0.776,0.054,1.133,0.1,0.086,0.0,0.045,15.0,식약처('16) 제4권,식품의약품안전처
D000030,국 및 탕류,어패류국.탕,650.0,683.0,494.6,42.4,17.8,88.4,0.3,0.1,0.0,0.2,0.0,0.0,6.1,194.25,-,125.52,666.49,529.35,1635.39,31.14,7.65,1.83,190.22,99.04,1066.68,-,8.81,0.19,0.32,0.61,2.68,150.06,0.61,0.0,-,1602.24,2995.15,3043.95,918.39,1754.78,1846.79,1935.16,790.4,3242.67,1425.62,602.83,2257.08,3955.51,5944.59,259.35,1686.36,2286.81,518.37,3.9,0.0,0.0,0.0,0.0,0.0,0.2,2.9,0.8,0.0,0.0,0.4,3.2,0.5,0.3,2.0,0.3,0.0,0.1,0.0,0.0,1.3,0.1,0.8,0.1,0.1,0.0,0.0,6.8,식약처('15) 제3권,식품의약품안전처
D000032,국 및 탕류,채소류국.탕,450.0,89.0,425.8,5.4,2.8,10.5,2.9,0.6,1.1,1.2,0.0,0.0,4.5,113.75,-,60.98,116.81,516.39,1642.08,0.73,0.14,0.45,41.43,0.0,734.11,-,2.27,0.01,0.28,0.15,0.0,33.74,0.15,1.78,-,137.02,274.18,267.73,48.01,175.65,170.57,177.56,98.49,287.29,122.27,58.46,278.94,598.5,1450.03,212.42,211.06,207.21,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,식약처('15) 제3권,식품의약품안전처
D000036,국 및 탕류,기타 국 및 탕류,700.0,624.915,551.861,20.055,11.319,110.707,0.158,0.0,0.013,0.145,0.0,0.0,8.555,99.72,-,0.0,250.249,369.913,1980.19,0.0,0.0,0.0,0.0,0.224,456.454,-,0.0,0.0,0.601,1.034,4.592,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.423,3.436,0.0,0.0,0.0,0.0,0.0,0.1,2.4,0.9,0.0,0.0,0.2,3.9,0.2,0.1,2.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.077,0.1,0.0,0.0,6.058,식약처('12) 제1권/명절,식품의약품안전처
D000037,국 및 탕류,기타 국 및 탕류,700.0,434.05,604.865,21.429,17.445,47.832,3.048,0.0,0.529,1.868,0.0,0.651,32.118,123.608,-,0.0,221.429,509.553,2367.993,0.0,0.0,0.0,0.0,2.212,710.34,-,0.0,0.0,1.307,0.698,6.509,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.521,4.236,0.1,0.0,0.0,0.0,0.0,0.1,2.9,1.1,0.0,0.0,0.3,4.8,0.3,0.1,2.7,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.051,0.0,0.0,0.0,8.429,식약처('12) 제1권,식품의약품안전처
D000038,국 및 탕류,채소류국.탕,700.0,221.0,644.7,8.3,5.5,34.6,5.2,0.8,2.0,2.4,0.0,0.0,5.1,115.56,-,90.16,159.83,1138.53,1712.29,1.31,0.27,0.5,0.03,0.0,96.67,-,0.63,0.03,0.55,0.15,0.83,66.29,1.46,7.24,-,212.12,400.75,407.65,100.75,269.94,272.6,310.76,124.01,424.47,196.36,104.7,287.4,1235.76,2044.82,274.7,264.73,266.66,5.46,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,식약처('17) 제5권,식품의약품안전처
D000039,국 및 탕류,어패류국.탕,500.0,119.0,468.8,10.0,2.8,13.4,0.4,0.1,0.0,0.0,0.0,0.2,9.6,125.77,-,170.21,101.15,330.05,1420.3,4.81,0.22,0.39,48.76,0.0,3641.85,-,1.68,0.0,0.18,0.14,2.0,33.09,0.0,3.01,-,344.742,747.651,621.15,214.261,445.125,462.47,466.572,162.009,742.751,326.943,116.933,710.572,1023.459,1806.263,549.973,500.448,471.95,6.62,0.6,0.0,0.0,0.0,0.0,0.0,0.008,0.404,0.144,0.015,0.0,0.01,0.997,0.06,0.007,1.129,0.142,0.0,0.079,0.0,0.0,0.016,0.011,0.036,0.1,0.0,0.106,0.0,4.9,식약처('16) 제4권,식품의약품안전처
D000040,국 및 탕류,채소류국.탕,450.0,104.0,421.0,6.1,2.4,14.7,5.9,0.2,3.4,2.3,0.0,0.0,5.9,90.18,-,57.27,127.35,553.06,1741.46,0.81,0.17,0.49,28.21,0.0,158.65,-,2.04,0.0,0.22,0.12,1.28,32.02,0.12,0.0,-,176.97,334.84,279.09,59.98,218.82,194.1,214.62,111.59,303.9,157.01,33.13,268.83,502.63,1636.94,244.69,269.18,245.02,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,식약처('15) 제3권,식품의약품안전처
D000041,국 및 탕류,채소류국.탕,150.0,38.0,141.1,2.8,1.8,2.8,0.7,0.1,0.5,0.1,0.0,0.0,0.8,27.34,-,15.1,39.03,88.07,517.03,0.33,0.06,0.18,5.97,0.0,128.34,-,1.07,0.01,0.07,0.03,0.37,5.09,0.03,0.58,-,99.11,191.79,144.89,28.85,123.48,97.87,105.29,57.02,157.99,88.32,32.99,113.99,278.21,616.47,20.46,123.57,129.53,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,식약처('15) 제3권,식품의약품안전처
D000044,국 및 탕류,어패류국.탕,550.0,157.0,508.2,22.0,3.1,10.1,1.3,0.0,0.6,0.7,0.0,0.0,8.0,369.14,-,119.82,266.75,394.16,1596.17,2.6,0.27,1.58,185.9,9.81,561.5,-,2.74,0.0,0.04,0.17,1.32,48.61,41.75,0.55,-,733.33,1475.53,1542.7,484.58,809.4,984.64,842.45,432.12,1659.95,776.22,264.31,1110.25,2275.35,3256.86,1089.75,781.27,1062.59,89.36,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.1,0.2,0.1,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.3,0.1,0.3,0.0,0.0,0.0,0.0,6.5,식약처('15) 제3권,식품의약품안전처
D000046,국 및 탕류,육류국.탕,1000.0,714.0,854.7,74.6,35.7,23.4,5.7,0.9,2.5,2.2,0.0,0.0,17.0,670.27,-,131.35,671.55,1199.28,3088.21,11.27,0.66,1.16,0.08,11.53,1819.13,-,6.82,0.28,1.24,0.92,5.72,91.69,0.51,19.87,-,2647.58,4921.94,5212.91,1304.08,2765.17,2814.2,3246.74,1728.57,4693.44,2022.05,538.89,4105.15,6230.18,13423.14,5296.81,3640.28,2602.77,321.72,14.3,0.0,0.0,0.0,0.0,0.1,0.5,8.9,4.7,0.1,0.0,0.8,14.7,1.1,0.3,6.1,2.0,0.0,0.2,0.1,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,11.6,식약처('17) 제5권,식품의약품안전처
D000047,국 및 탕류,육류국.탕,1000.0,312.0,919.4,49.3,5.4,16.7,3.9,0.3,2.0,1.6,0.0,0.0,9.5,206.72,-,92.03,238.15,641.53,3074.53,2.97,0.44,1.25,0.06,0.0,810.35,-,3.8,0.16,0.72,0.32,0.93,72.94,0.69,10.02,-,714.2,4468.88,3638.87,485.15,2533.22,1694.8,3074.65,2039.02,2234.4,1153.89,402.13,3293.2,4776.84,7753.65,2787.07,2025.24,1935.17,230.52,2.7,0.0,0.0,0.0,0.0,0.1,0.2,1.6,0.9,0.0,0.0,0.2,2.3,0.1,0.0,1.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,9.3,식약처('17) 제5권,식품의약품안전처
D000049,국 및 탕류,육류국.탕,400.0,123.0,371.6,14.2,4.0,7.8,3.5,0.2,1.7,1.6,0.0,0.0,3.1,59.21,-,42.86,108.32,336.96,1067.02,3.05,0.06,0.25,27.25,0.06,63.19,-,0.79,0.02,0.09,0.07,1.32,32.0,1.8,0.0,-,483.72,1022.59,1160.26,260.43,531.51,598.36,553.63,369.81,903.45,422.12,245.89,828.29,1311.31,2525.92,775.16,654.09,577.34,38.43,1.3,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.4,0.0,0.0,0.2,1.3,0.1,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,3.5,식약처('15) 제3권,식품의약품안전처
D000050,국 및 탕류,육류국.탕,650.0,151.0,613.1,18.1,5.3,7.7,0.0,0.0,0.0,0.0,0.0,0.0,8.4,149.32,-,95.09,139.44,204.8,1908.91,3.96,0.12,0.12,49.21,0.99,385.75,-,0.73,0.06,0.12,0.15,1.48,35.95,2.8,0.0,-,593.04,1247.04,1275.93,388.84,673.65,721.61,683.49,441.75,1041.53,529.13,206.61,998.71,1532.13,2696.53,931.38,715.68,676.0,42.18,2.0,0.0,0.0,0.0,0.0,0.0,0.1,1.2,0.6,0.0,0.0,0.1,1.7,0.1,0.0,0.4,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,5.8,식약처('15) 제3권,식품의약품안전처
